Категория;Подкатегория;Оборот;Продавцов;Доля_топ1_%;Доля_топ2_%;Доля_топ5_%;Отрыв_1_от_2_пп;Доминирование_1_в_топ5
Стулья, скамьи, табуреты, пуфики;Стул для музыканта;8340324;248;20.1;29.5;47.1;10.7;0.43
Стулья, скамьи, табуреты, пуфики;Стул откидной;6637336;206;27.1;44.7;66.0;9.5;0.41
Шкафы;Шкаф распашной;7006280404;643;28.2;41.9;53.4;14.5;0.53
Шкафы;Шкаф-купе;1125566030;202;13.7;24.0;47.1;3.4;0.29
Шкафы;Гардеробная система;722629413;159;14.2;27.3;54.6;1.1;0.26
Шкафы;Шкаф-витрина;515042144;486;21.7;33.6;52.2;9.8;0.42
Шкафы;Вешалка настенная;487800234;2571;8.2;13.5;24.0;2.9;0.34
Шкафы;Шкаф-пенал;358162231;310;12.0;17.1;29.9;6.9;0.4
Шкафы;Шкаф книжный;205245879;206;23.7;33.5;52.3;13.9;0.45
Шкафы;Буфет;148287064;518;39.3;47.2;62.6;31.4;0.63
Шкафы;Шкаф складной;142817262;950;23.5;34.5;50.9;12.5;0.46
Шкафы;Шкаф навесной;84583533;218;14.1;24.3;45.1;3.9;0.31
Шкафы;Антресоль мебельная;73823525;136;18.5;35.8;60.5;1.2;0.31
Шкафы;Барная стойка;12576856;15;64.9;81.2;97.4;48.6;0.67
Шкафы;Корпус шкафа;4919835;22;39.4;74.3;91.8;4.5;0.43
