Категория;Уровень;Узел;Позиция;Продавец;Исключён
Кровати;Подкатегория;Кровать раздвижная;2;Сканд Мебель;
Кровати;Подкатегория;Кровать-чердак;1;ООО «Фабрика Новита»;
Кровати;Подкатегория;Кровать-чердак;2;МебельДилер;
Кровати;Подкатегория;Односпальная кровать;1;SleepShop;
Кровати;Подкатегория;Односпальная кровать;2;MASSA;
Кровати;Подкатегория;Раскладушка;1;Энх;
Кровати;Подкатегория;Раскладушка;2;Lucky Goods;
Кровати;Подкатегория;Тахта;1;Правила мебели;
Кровати;Подкатегория;Тахта;2;Ami;
Кровати;Подкатегория;Шкаф-кровать;1;STYLINT;
Кровати;Подкатегория;Шкаф-кровать;2;Room Saver;
Матрасы;Подкатегория;Матрас (≈категория);1;Dream Store;
Матрасы;Подкатегория;Матрас (≈категория);2;LAQY;
Матрасы;Подкатегория;Матрас для садовой мебели;1;Bio-Line;
Матрасы;Подкатегория;Матрас для садовой мебели;2;SGMedical shop;
Матрасы;Подкатегория;Медицинский матрас;1;SGMedical shop;
Матрасы;Подкатегория;Медицинский матрас;2;MEDISO;
Матрасы;Подкатегория;Топпер-наматрасник;1;ORMATEK;
Матрасы;Подкатегория;Топпер-наматрасник;2;Luna inc;
Мебель бескаркасная;Подкатегория;Бескаркасный диван;1;Bubble Bag;
Мебель бескаркасная;Подкатегория;Бескаркасный диван;2;SOFORIA;
Мебель бескаркасная;Подкатегория;Бескаркасный пуф;1;Laavi Home;
Мебель бескаркасная;Подкатегория;Бескаркасный пуф;2;COOLBAG;
Мебель бескаркасная;Подкатегория;Кресло-мешок;1;GoodPoof;
Мебель бескаркасная;Подкатегория;Кресло-мешок;2;1,5 Слона;
Мебель бескаркасная;Подкатегория;Чехол для бескаркасной мебели;1;EVERENA;
Мебель бескаркасная;Подкатегория;Чехол для бескаркасной мебели;2;FLER;
Мебель для бизнеса;Подкатегория;Комплект мебели для ПВЗ;1;Твой ПВЗ;
Мебель для бизнеса;Подкатегория;Комплект мебели для ПВЗ;2;Мебель для ПВЗ;
Мебель для бизнеса;Подкатегория;Мебель медицинская;1;PRO-MEDIC RU;
Мебель для бизнеса;Подкатегория;Мебель медицинская;2;MET Store;
Мебель для бизнеса;Подкатегория;Полка производственная;1;АБВ;
Мебель для бизнеса;Подкатегория;Полка производственная;2;UrbanFrame;
Мебель для бизнеса;Подкатегория;Стойка ресепшн для ПВЗ;1;Бизнес мебель;
Мебель для бизнеса;Подкатегория;Стойка ресепшн для ПВЗ;2;ИП Русских А.В.;
Мебель для бизнеса;Подкатегория;Примерочная кабина;1;Коллекция Мебели;
Мебель для бизнеса;Подкатегория;Примерочная кабина;2;ИП Тимофеева О. В.;
Мебель для бизнеса;Подкатегория;Стол производственный;1;АБВ;
Мебель для бизнеса;Подкатегория;Стол производственный;2;Ставилон ПРО;
Мебель для бизнеса;Подкатегория;Швейный уголок;1;УЮТНО и ТОЧКА;
Мебель для бизнеса;Подкатегория;Швейный уголок;2;Мебель для рукоделия Комфорт;
Мебель для бизнеса;Подкатегория;Шкаф производственный;1;ООО Вариант 999;
Мебель для бизнеса;Подкатегория;Шкаф производственный;2;Петров Андрей Светославович;
Мебель для ванной;Подкатегория;Комплект мебели для ванной;1;Сантехника-Онлайн;
Мебель для ванной;Подкатегория;Комплект мебели для ванной;2;АКВА;
Мебель для ванной;Подкатегория;Тумба для ванной;1;FAURAPLUS;
Мебель для ванной;Подкатегория;Тумба для ванной;2;Итана;
Мебель для ванной;Подкатегория;Шкаф для ванной;1;Сантехника-Онлайн;
Мебель для ванной;Подкатегория;Шкаф для ванной;2;FAURAPLUS;
Мебель для кухни;Подкатегория;Кухонный гарнитур;1;НОНТОН.РФ;
Мебель для кухни;Подкатегория;Кухонный гарнитур;2;Правила мебели;
Мебель для кухни;Подкатегория;Кухонный модуль навесной;1;HOLBE;
Мебель для кухни;Подкатегория;Кухонный модуль навесной;2;Правила мебели;
Мебель для кухни;Подкатегория;Кухонный модуль напольный;1;HOLBE;
Мебель для кухни;Подкатегория;Кухонный модуль напольный;2;Netcall;
Мебель для кухни;Подкатегория;Наполнение для кухонного модуля;1;Хорошая мебель;
Мебель для кухни;Подкатегория;Наполнение для кухонного модуля;2;Красивый дом;
Мебельная фурнитура и комплектующие;Подкатегория;Выкатная корзина;1;ТБМ;
Мебельная фурнитура и комплектующие;Подкатегория;Выкатная корзина;2;ВСЁ ДЛЯ МЕБЕЛИ;
Мебельная фурнитура и комплектующие;Подкатегория;Газлифт мебельный;1;ВСЁ ДЛЯ МЕБЕЛИ;
Мебельная фурнитура и комплектующие;Подкатегория;Газлифт мебельный;2;GAME CHAIRS;
Мебельная фурнитура и комплектующие;Подкатегория;Дверь для шкафа;1;Титан-ГС - двери на заказ;
Мебельная фурнитура и комплектующие;Подкатегория;Дверь для шкафа;2;АП-ПОРТЕ;
Мебельная фурнитура и комплектующие;Подкатегория;Держатель для полки;1;ВСЁ ДЛЯ МЕБЕЛИ;
Мебельная фурнитура и комплектующие;Подкатегория;Держатель для полки;2;AGM;
Мебельная фурнитура и комплектующие;Подкатегория;Доводчик мебельный;1;Комплект Profi;
Мебельная фурнитура и комплектующие;Подкатегория;Доводчик мебельный;2;GAME CHAIRS;
Мебельная фурнитура и комплектующие;Подкатегория;Заглушка декоративная;1;МАСТЕРиКО;
Мебельная фурнитура и комплектующие;Подкатегория;Заглушка декоративная;2;3Д БЛОК;
Мебельная фурнитура и комплектующие;Подкатегория;Запчасти для гардеробной системы;1;РегионМебель (63mebel);
Мебельная фурнитура и комплектующие;Подкатегория;Запчасти для гардеробной системы;2;Титан-ГС;
Мебельная фурнитура и комплектующие;Подкатегория;Запчасти для кровати;1;WoodМаркет;
Мебельная фурнитура и комплектующие;Подкатегория;Запчасти для кровати;2;Wood Terra Premium;
Мебельная фурнитура и комплектующие;Подкатегория;Изголовье кровати;1;Крепкая-Кровать;
Мебельная фурнитура и комплектующие;Подкатегория;Изголовье кровати;2;Домавито;
Мебельная фурнитура и комплектующие;Подкатегория;Кромка мебельная безклеевая;1;ШТОРМ;
Мебельная фурнитура и комплектующие;Подкатегория;Кромка мебельная безклеевая;2;A-Сервис;
Мебельная фурнитура и комплектующие;Подкатегория;Мебельный фасад;1;Кьюмен;
Мебельная фурнитура и комплектующие;Подкатегория;Мебельный фасад;2;CAMPANA HOME;
Мебельная фурнитура и комплектующие;Подкатегория;Столешница;1;Millwood;
Мебельная фурнитура и комплектующие;Подкатегория;Столешница;2;Pro100% Столешница;
Мебельная фурнитура и комплектующие;Подкатегория;Ящик выдвижной мебельный;1;ТБМ;
Мебельная фурнитура и комплектующие;Подкатегория;Ящик выдвижной мебельный;2;Ergostol;
Мебельная фурнитура и комплектующие;Подкатегория;Штанга в шкаф;1;Альтера;
Мебельная фурнитура и комплектующие;Подкатегория;Штанга в шкаф;2;Инталика;
Мебельная фурнитура и комплектующие;Подкатегория;Набор мебельной фурнитуры;1;Росмагнит;
Мебельная фурнитура и комплектующие;Подкатегория;Набор мебельной фурнитуры;2;WiseBuys;
Полки и стеллажи;Подкатегория;Стеллаж;1;Официальный магазин GASTRORAG & GEMLUX;
Полки и стеллажи;Подкатегория;Стеллаж;2;TOVEW;
Полки и стеллажи;Подкатегория;Полка;1;COBBE;
Полки и стеллажи;Подкатегория;Полка;2;LeviHouse;
Полки и стеллажи;Подкатегория;Стеллаж для ванной;1;TOVEW;
Полки и стеллажи;Подкатегория;Стеллаж для ванной;2;HOMM;
