Категория;Подкатегория;Оборот;Динамика_%;Продавцов;Доля_топ5_%;Лидер_1;Лидер_2
Мебель для кухни;Кухонный гарнитур;2107452005;45.0;267;53.5;НОНТОН.РФ;Правила мебели
Мебель для кухни;Кухонный модуль напольный;1564566760;12.0;293;36.7;HOLBE;Netcall
Мебель для кухни;Кухонный модуль навесной;731750320;1.0;412;41.9;HOLBE;Правила мебели
Мебель для кухни;Наполнение для кухонного модуля;54097236;-15.0;759;37.1;Хорошая мебель;Красивый дом
Мебельная фурнитура и комплектующие;Столешница;1180867007;14.0;575;26.4;Millwood;Pro100% Столешница
Мебельная фурнитура и комплектующие;Ручка мебельная;905282208;11.0;5962;22.1;;
Мебельная фурнитура и комплектующие;Ножка для мебели;444207325;8.0;3066;21.3;;
Мебельная фурнитура и комплектующие;Направляющие;410237839;-1.0;976;37.9;;
Мебельная фурнитура и комплектующие;Петля мебельная;401392952;-3.0;3329;36.1;;
Мебельная фурнитура и комплектующие;Держатель для полки;234156990;12.0;2539;17.8;ВСЁ ДЛЯ МЕБЕЛИ;AGM
Мебельная фурнитура и комплектующие;Мебельное колесо;194081980;5.0;2713;35.1;;
Мебельная фурнитура и комплектующие;Заглушка декоративная;175803821;59.0;1707;34.1;МАСТЕРиКО;3Д БЛОК
Мебельная фурнитура и комплектующие;Запчасти для гардеробной системы;172342092;-5.0;1061;38.5;РегионМебель (63mebel);Титан-ГС
Мебельная фурнитура и комплектующие;Протектор для мебели;158249020;-4.0;3283;38.2;;
Мебельная фурнитура и комплектующие;Газлифт мебельный;133445700;-4.0;709;42.6;ВСЁ ДЛЯ МЕБЕЛИ;GAME CHAIRS
Мебельная фурнитура и комплектующие;Плинтус для столешницы;118359830;-6.0;520;46.9;;
Мебельная фурнитура и комплектующие;Мебельный фасад;109619627;-1.0;258;29.0;Кьюмен;CAMPANA HOME
Мебельная фурнитура и комплектующие;Дверь для шкафа;108115851;37.0;31;91.5;Титан-ГС - двери на заказ;АП-ПОРТЕ
Мебельная фурнитура и комплектующие;Набор мебельной фурнитуры;101595450;123.0;3266;22.5;Росмагнит;WiseBuys
Мебельная фурнитура и комплектующие;Ящик выдвижной мебельный;83291131;38.0;301;58.5;ТБМ;Ergostol
Мебельная фурнитура и комплектующие;Набор для перемещения мебели;81315557;-2.0;928;53.3;;
Мебельная фурнитура и комплектующие;Ламель для кровати;76431108;-16.0;131;78.6;;
Мебельная фурнитура и комплектующие;Планка для столешницы;75699925;13.0;251;45.2;;
Мебельная фурнитура и комплектующие;Выкатная корзина;65437448;0.0;385;65.5;ТБМ;ВСЁ ДЛЯ МЕБЕЛИ
Мебельная фурнитура и комплектующие;Подъёмный механизм;57720424;15.0;428;27.6;;
Мебельная фурнитура и комплектующие;Штанга в шкаф;54429866;28.0;374;52.4;Альтера;Инталика
Мебельная фурнитура и комплектующие;Фурнитура для шкафа-купе;48569752;1.0;425;65.9;;
Мебельная фурнитура и комплектующие;Запчасти для кровати;46196415;-19.0;440;34.3;WoodМаркет;Wood Terra Premium
Мебельная фурнитура и комплектующие;Крестовина для компьютерного кресла;42827216;6.0;315;74.3;;
Мебельная фурнитура и комплектующие;Цоколь для кухни;41610076;7.0;92;89.1;;
Мебельная фурнитура и комплектующие;Толкатель мебельный;35744074;-3.0;503;42.3;;
Мебельная фурнитура и комплектующие;Уголок мебельный;34768351;-4.0;644;27.3;;
Мебельная фурнитура и комплектующие;Механизм качания;34200014;-3.0;365;57.7;;
Мебельная фурнитура и комплектующие;Кромка мебельная клеевая;31072369;-5.0;597;50.7;;
Мебельная фурнитура и комплектующие;Стяжка мебельная;27138621;-1.0;439;43.2;;
Мебельная фурнитура и комплектующие;Наполнитель для кресла-мешка;24497578;2.0;326;56.0;;
Мебельная фурнитура и комплектующие;Механизм поворотный мебельный;18573752;0.0;426;50.1;;
Мебельная фурнитура и комплектующие;Фурнитура для мягкой мебели;17059518;-3.0;396;55.6;;
Мебельная фурнитура и комплектующие;Пантограф для шкафа;16726123;16.0;131;70.9;;
Мебельная фурнитура и комплектующие;Кромка мебельная безклеевая;15951631;-6.0;143;64.7;ШТОРМ;A-Сервис
Мебельная фурнитура и комплектующие;Пружинный блок;14847392;-33.0;85;89.0;;
Мебельная фурнитура и комплектующие;Шкант мебельный;13995448;3.0;387;46.8;;
Мебельная фурнитура и комплектующие;Латодержатель;13371274;-11.0;121;57.2;;
Мебельная фурнитура и комплектующие;Демпфер мебельный;11269437;-31.0;427;35.8;;
Мебельная фурнитура и комплектующие;Эксцентриковая стяжка;11203490;-1.0;182;68.8;;
Мебельная фурнитура и комплектующие;Термоизоляционная планка;8731936;2.0;60;72.1;;
Мебельная фурнитура и комплектующие;Механизм трансформации;8523824;29.0;118;69.5;;
Мебельная фурнитура и комплектующие;Изголовье кровати;7845307;-27.0;56;54.8;Крепкая-Кровать;Домавито
Мебельная фурнитура и комплектующие;Доводчик мебельный;7837715;-17.0;186;72.6;Комплект Profi;GAME CHAIRS
Мебельная фурнитура и комплектующие;Полка для клавиатуры;7332216;-4.0;280;64.1;;
Мебельная фурнитура и комплектующие;Держатель для штанги;6831331;11.0;267;43.2;;
Мебельная фурнитура и комплектующие;Подпятник;6453564;1.0;870;33.5;;
Мебельная фурнитура и комплектующие;Щёточный уплотнитель;5890388;0.0;204;68.4;;
Мебельная фурнитура и комплектующие;Декор для мебели;3901719;20.0;125;59.8;;
Мебельная фурнитура и комплектующие;Фурнитура для мебельной трубы;3744831;33.0;175;67.1;;
Мебельная фурнитура и комплектующие;Фиксатор фасада мебельный;3149012;4.0;260;62.9;;
Мебельная фурнитура и комплектующие;Крючок мебельный;3092879;-89.0;605;21.6;;
Мебельная фурнитура и комплектующие;Пружина мебельная;3064549;37.0;174;60.6;;
Мебельная фурнитура и комплектующие;Профиль для стекла;2327747;-7.0;31;82.1;;
Мебельная фурнитура и комплектующие;Уплотнитель для цоколя;1765624;-6.0;179;88.6;;
Мебельная фурнитура и комплектующие;Запчасти для барной стойки;1672532;32.0;97;67.1;;
Мебельная фурнитура и комплектующие;Ограничитель угла открывания;1656516;-10.0;104;68.7;;
Мебельная фурнитура и комплектующие;Стопор колёс мебельный;1261014;-11.0;208;75.5;;
Мебельная фурнитура и комплектующие;Шляпка для саморезов;1120549;-12.0;201;79.8;;
Мебельная фурнитура и комплектующие;Цепь для садовых качелей;1034233;927.0;69;82.8;;
Мебельная фурнитура и комплектующие;Ограждение для кровати;394731;-71.0;18;91.0;;
Мебельная фурнитура и комплектующие;Шток для эксцентриковой стяжки;390076;-47.0;86;70.8;;
Мебельная фурнитура и комплектующие;Слэб деревянный;31427;;7;79.7;;
Полки и стеллажи;Стеллаж;4039915466;21.0;3558;24.7;Официальный магазин GASTRORAG & GEMLUX;TOVEW
Полки и стеллажи;Полка;2676648139;4.0;23181;7.0;COBBE;LeviHouse
Полки и стеллажи;Этажерка;502936207;13.0;4951;25.2;Официальный магазин GASTRORAG & GEMLUX;Видовито - OOO «RNV»
Полки и стеллажи;Стеллаж для ванной;177155363;3.0;745;29.5;TOVEW;HOMM
Полки и стеллажи;Запчасти для стеллажа;44828087;38.0;175;67.3;GetMet;Сейф 2000
Садовая мебель;Набор садовой мебели;2286100930;208.0;1045;30.1;Sundays;ASTELA
Садовая мебель;Садовые качели;1801846675;356.0;940;31.1;ТОВМАН САД;DACHМЕБЕЛЬ (дилер OLSA)
Садовая мебель;Шезлонг;1025334637;405.0;2194;19.6;Три муравья Основной;Ami
Садовая мебель;Садовый стол;804372543;236.0;1484;31.6;ООО «Стул Груп»;Global Wave
Садовая мебель;Скамья;620604849;249.0;1741;16.8;FEROOM GROUP (Ферум груп);Хоббика
Садовая мебель;Садовое кресло;557863835;277.0;1034;34.0;ООО «ЗПИ «Альтернатива»;Ami
Садовая мебель;Садовый диван;552915098;236.0;175;47.8;ВашДвор;ASTELA
Садовая мебель;Садовый тент;315442410;592.0;1119;35.9;АГРО-ПРОФИ;TULSI
Садовая мебель;Шатёр;274865392;752.0;363;62.7;Ami;Fung Yard
Садовая мебель;Садовый стул;254720100;230.0;3351;27.3;Global Wave;ЮнитиШоп
Садовая мебель;Гамак;215193413;477.0;3172;49.9;Гамак и Спальник;Официальный магазин
Садовая мебель;Беседка;202330390;261.0;279;34.9;Fung Yard;ТехноГрани
Садовая мебель;Садовая кухня;108752584;307.0;296;61.9;KJOPMANN;Фестиваль Вкуса
Садовая мебель;Каркас для садовой мебели;95874096;263.0;426;36.5;ЛЕНТА;AstoCrystall
Садовая мебель;Аксессуары для качели;79647858;692.0;689;58.0;JEONIX;FLER
Садовая мебель;Фурнитура для садовой мебели;44000497;684.0;208;62.1;Метхоум;Fidan
Садовая мебель;Шкаф для газового баллона;27744086;243.0;51;77.8;АКБИТ Плюс;Магазин «наДАЧу78»
Садовая мебель;Садовый шкаф;26511871;441.0;148;76.6;GARDECK;Гарден Арт
Садовая мебель;Аксессуары для гамака;13663073;343.0;548;49.5;Millwood;ROSLOVE
Садовая мебель;Ремкомплект для садовой мебели;10857430;946.0;168;83.9;Осилис;YPSPORT
Садовая мебель;Купол;8109556;5672.0;82;97.3;Фабрика беседок;Чудопоставки
Садовая мебель;Аксессуары для беседки;6921791;214.0;164;67.8;STEELFORGE;Armis
Садовая мебель;Готовый навес для крыльца;2869321;-31.0;158;64.1;;
Садовая мебель;Стенка для садовой постройки;1118159;981.0;39;94.1;;
Садовая мебель;Садовая тумба;594820;-55.0;26;70.8;;
Столы;Стол обеденный;4197437908;20.0;1398;14.4;LAREN;ТЕКСТУРА
Столы;Компьютерный стол;2079084218;-2.0;1560;21.6;Мебель-Цех;Теплмяг
Столы;Письменный стол;1389490673;-7.0;1276;21.8;ГУД ЛАКК;МЕБЕЛЬНАЯ ФАБРИКА ЮДИНЫХ
Столы;Журнальный стол;1213630435;11.0;5467;11.9;Venerdi;IFERS
Столы;Подстолье;781278955;29.0;998;34.2;Группа компаний «КРОН»;movedesk
Столы;Туалетный столик;674560139;3.0;1026;21.3;Mebelson;МебельКант
Столы;Приставной столик;208732852;18.0;2078;24.2;DEEPLIFE;librox
Столы;Столик для ноутбука;165626209;-14.0;1093;29.5;ЭТХУ;BD-Стол
Столы;Консоль;160160125;3.0;988;22.5;Akur Design Studio;ЛИДЕР
Столы;Стол-книжка;157560806;-23.0;885;37.0;ANSO;Shi.Mall
Столы;Барный стол;74064618;40.0;218;49.7;ООО «Стул Груп»;KROMLAND
Столы;Парта;61818758;42.0;138;59.5;FunDesk;ONLEAP
Столы;Стойка ресепшн;43839383;11.0;52;84.0;MBL Мебель для бизнеса;Пермторгкомплект
Столы;Детский стол;42273289;10.0;324;43.7;BABYROX;Малая медведица — фабрика мебели
Столы;Стол-стеллаж;37883746;59.0;65;61.4;Design Dom;SolidWood
Столы;Сервировочный стол;33334988;11.0;399;38.7;Dominanta;НТ-проект
Столы;Подвесной стол;30392940;97.0;192;48.8;Дом Мебели;Millwood
Столы;Подставка под системный блок;29501490;-18.0;495;40.1;DoNext;MultiCon
Столы;Офисный стол;15348529;3.0;88;74.5;Re-seption;MBL Мебель для бизнеса
Столы;Трибуна для выступлений;11681909;49.0;57;92.9;Торговая, офисная и домашняя мебель;Madlen Co
Столы;Подлокотник для стола;9554946;1.0;386;48.2;ЭТХУ;Русский Дом
Столы;Кронштейн откидного стола;7442837;43.0;286;81.7;;
Стулья, скамьи, табуреты, пуфики;Комплект стульев;4406926295;34.0;2193;20.0;ООО «Стул Груп»;АйДа Мебель
Стулья, скамьи, табуреты, пуфики;Стул;2343459596;21.0;4171;15.9;Daiva Casa;Azzurro mebel
Стулья, скамьи, табуреты, пуфики;Пуф;937751251;21.0;2869;23.8;Soda decor;Bam Decor
Стулья, скамьи, табуреты, пуфики;Табурет;419544200;14.0;4549;14.9;ELITE-MARKET;CEDRO
Стулья, скамьи, табуреты, пуфики;Барный стул;415670436;18.0;1415;28.9;Официальный магазин GASTRORAG & GEMLUX;DOBRIN
Стулья, скамьи, табуреты, пуфики;Комплект табуретов;343712554;30.0;476;35.9;Master Pro;ИП ЧИРИКОВА Д С
Стулья, скамьи, табуреты, пуфики;Детский стул;309177057;1.0;3420;23.2;«ДВИЖЕНИЕ - ЖИЗНЬ»;Растущий Друг Кузя
Стулья, скамьи, табуреты, пуфики;Банкетка;271454590;5.0;1103;35.0;Mebel Made;Steel.mebel24
